date,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-09-30,152987000000,211993000000,176392000000,131638000000,56950000000,22511000000,85750000000.0,-19154000000,29943000000
2023-09-30,143566000000,209017000000,145308000000,145129000000,62146000000,15807000000,95281000000.0,-214000000,29965000000
2022-09-30,135405000000,217350000000,153982000000,148101000000,50672000000,21110000000,98959000000.0,-3068000000,23646000000
2021-09-30,134836000000,216166000000,125481000000,162431000000,63090000000,15613000000,109106000000.0,5562000000,34940000000
2020-09-30,143713000000,180175000000,105392000000,153157000000,65339000000,13769000000,98667000000.0,14966000000,38016000000
2019-09-30,162819000000,175697000000,105718000000,142310000000,90488000000,16240000000,91807000000.0,45898000000,48844000000
2018-09-30,131339000000,234386000000,116866000000,141712000000,107147000000,20748000000,93735000000.0,70400000000,25913000000
2017-09-30,128645000000,246674000000,100814000000,140458000000,134047000000,18473000000,97207000000.0,98330000000,20289000000
2016-09-30,106869000000,214817000000,79006000000,114431000000,128249000000,11605000000,75427000000.0,96364000000,20484000000
2015-09-30,89378000000,201101000000,80610000000,90514000000,119355000000,10999000000,53463000000.0,92284000000,21120000000
2014-09-30,68531000000,163308000000,63448000000,56844000000,111547000000,6308000000,28987000000.0,87152000000,13844000000
2013-09-30,73286000000,133714000000,43658000000,39793000000,123549000000,7679000000,16960000000.0,104256000000,14259000000
2012-09-30,57653000000,118411000000,38542000000,19312000000,118210000000,6310000000,,101289000000,10746000000
2011-09-30,44988000000,71383000000,27970000000,11786000000,76615000000,5606000000,,62841000000,9815000000
2010-09-30,41678000000,33505000000,20722000000,6670000000,47791000000,2466000000,,37169000000,11261000000
2009-09-30,36265000000,17586000000,19282000000,6737000000,27832000000,1948000000,,19538000000,5263000000
2008-09-30,34690000000,4882000000,14092000000,4450000000,21030000000,2507000000,,13845000000,11875000000
2007-09-30,21956000000,3391000000,9299000000,1516000000,14532000000,1805000000,,9101000000,9352000000
2006-09-30,14509000000,2696000000,6471000000,750000000,9984000000,1515000000,,5607000000,6392000000
2005-09-30,10300000000,1251000000,3484000000,601000000,7466000000,798000000,,4005000000,3491000000
