fiscal_date_ending,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-09-30,152987000000,211993000000,176392000000,131638000000,56950000000,9967000000,96700000000.0,-19154000000,29943000000
2023-09-30,143566000000,209017000000,145308000000,145129000000,62146000000,5985000000,105103000000.0,-214000000,29965000000
2022-09-30,135405000000,217350000000,153982000000,148101000000,50672000000,9982000000,110087000000.0,-3068000000,23646000000
2021-09-30,134836000000,216166000000,125481000000,162431000000,63090000000,6000000000,118700000000.0,5562000000,34940000000
2020-09-30,143713000000,180175000000,105392000000,153157000000,65339000000,4996000000,125873000000.0,14966000000,38016000000
2019-09-30,162819000000,175697000000,105718000000,142310000000,90488000000,5980000000,117760000000.0,45898000000,48844000000
2018-09-30,131339000000,234386000000,115929000000,142649000000,107147000000,11964000000,111984000000.0,70400000000,25913000000
2017-09-30,128645000000,246674000000,100814000000,140458000000,134047000000,11977000000,112596000000.0,98330000000,20289000000
2016-09-30,106869000000,385247000000,79006000000,150505000000,128249000000,8100000000,85200000000.0,96364000000,20484000000
2015-09-30,89378000000,365166000000,80610000000,123941000000,119355000000,8499000000,57400000000.0,92284000000,21120000000
2014-09-30,68531000000,293470000000,63448000000,52683000000,111547000000,6308000000,28987000000.0,87152000000,13844000000
2013-09-30,73286000000,239929000000,43658000000,39322000000,123549000000,0,16960000000.0,104256000000,14259000000
2012-09-30,57653000000,213533000000,38542000000,35976000000,118210000000,6310000000,0.0,101289000000,10746000000
2011-09-30,44988000000,123607000000,27970000000,21886000000,76615000000,5606000000,,62841000000,9815000000
2010-09-30,41678000000,57101000000,20722000000,10970000000,47791000000,2466000000,,37169000000,11261000000
2009-09-30,31555000000,23520000000,11506000000,4355000000,31640000000,1948000000,,23353000000,5263000000
2008-09-30,30006000000,4882000000,11361000000,4450000000,22297000000,2507000000,,15129000000,11875000000
