date,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-09-30,118254000000,9447000000,,-121983000000,15234000000.0,,108807000000
2023-09-30,110543000000,10959000000,3705000000.0,-108488000000,15025000000.0,,99584000000
2022-09-30,122151000000,10708000000,-22354000000.0,-110749000000,14841000000.0,,111443000000
2021-09-30,104038000000,11085000000,-14545000000.0,-93353000000,14467000000.0,,92953000000
2020-09-30,80674000000,7309000000,-4289000000.0,-86820000000,14081000000.0,,73365000000
2019-09-30,69391000000,10495000000,45896000000.0,-90976000000,14119000000.0,,58896000000
2018-09-30,77434000000,13313000000,16066000000.0,-87876000000,13712000000.0,,64121000000
2017-09-30,63598000000,12451000000,-46446000000.0,-17347000000,12769000000.0,,51147000000
2016-09-30,65824000000,12734000000,-45977000000.0,-20483000000,12150000000.0,,53090000000
2015-09-30,81266000000,11247000000,-56274000000.0,-17716000000,11561000000.0,,70019000000
2014-09-30,59713000000,9571000000,-22579000000.0,-37549000000,11126000000.0,,50142000000
2013-09-30,53666000000,8165000000,-33774000000.0,-16379000000,10564000000.0,,45501000000
2012-09-30,50856000000,8295000000,-48227000000.0,-1698000000,2488000000.0,,42561000000
2011-09-30,37529000000,4260000000,-40419000000.0,1444000000,,,33269000000
2010-09-30,18595000000,2005000000,-13854000000.0,1257000000,,,16590000000
2009-09-30,10159000000,1144000000,-17434000000.0,663000000,,,9015000000
2008-09-30,9596000000,1091000000,,1116000000,,,8505000000
2007-09-30,5470000000,735000000,,739000000,,,4735000000
2006-09-30,2220000000,657000000,357000000.0,324000000,,,1563000000
2005-09-30,2535000000,260000000,,543000000,,,2275000000
