fiscal_date_ending,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-09-30,118254000000,9447000000,2935000000,-121983000000,15234000000.0,7920000000.0,108807000000
2023-09-30,110543000000,10959000000,3705000000,-108488000000,15025000000.0,-7956000000.0,99584000000
2022-09-30,122151000000,10708000000,-22354000000,-110749000000,14841000000.0,7910000000.0,111443000000
2021-09-30,104038000000,11085000000,-14545000000,-93353000000,14467000000.0,2044000000.0,92953000000
2020-09-30,80674000000,7309000000,-4289000000,-86820000000,14081000000.0,-1926000000.0,73365000000
2019-09-30,69391000000,10495000000,45896000000,-90976000000,14119000000.0,-11954000000.0,58896000000
2018-09-30,77434000000,13313000000,16066000000,-87876000000,13712000000.0,-74000000.0,64121000000
2017-09-30,64225000000,12795000000,-46446000000,-17974000000,12769000000.0,7704000000.0,51430000000
2016-09-30,66231000000,13548000000,-45977000000,-20890000000,12150000000.0,-794000000.0,52683000000
2015-09-30,81266000000,11488000000,-56274000000,-17716000000,11561000000.0,4382000000.0,69778000000
2014-09-30,109133000000,9571000000,-22579000000,-37549000000,11031000000.0,6306000000.0,99562000000
2013-09-30,53666000000,8165000000,-33774000000,-16379000000,10528000000.0,0.0,45501000000
2012-09-30,50856000000,8295000000,-48227000000,-1698000000,2488000000.0,0.0,42561000000
2011-09-30,37529000000,4260000000,-40419000000,1444000000,,,33269000000
2010-09-30,18595000000,2005000000,-13854000000,1257000000,,,16590000000
2009-09-30,10159000000,1144000000,-17434000000,663000000,,,9015000000
