date,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-09-30,391035000000,180683000000,123216000000,93736000000,,123216000000,46.21,31.51,31.51
2023-09-30,383285000000,169148000000,114301000000,96995000000,,114301000000,44.13,29.82,29.82
2022-09-30,394328000000,170782000000,119437000000,99803000000,,119437000000,43.31,30.29,30.29
2021-09-30,365817000000,152836000000,108949000000,94680000000,,108949000000,41.78,29.78,29.78
2020-09-30,274515000000,104956000000,66288000000,57411000000,,66288000000,38.23,24.15,24.15
2019-09-30,260174000000,98392000000,63930000000,55256000000,,65177000000,37.82,24.57,25.05
2018-09-30,265595000000,101839000000,70898000000,59531000000,,72501000000,38.34,26.69,27.3
2017-09-30,229234000000,88186000000,61344000000,48351000000,,66412000000,38.47,26.76,28.97
2016-09-30,215639000000,84263000000,62567000000,45687000000,,62828000000,39.08,29.01,29.14
2015-09-30,233715000000,93626000000,71230000000,53394000000,,72491000000,40.06,30.48,31.02
2014-09-30,182795000000,70537000000,52503000000,39510000000,,53921000000,38.59,28.72,29.5
2013-09-30,170910000000,64304000000,50479000000,37037000000,,50294000000,37.62,29.54,29.43
2012-09-30,156508000000,68662000000,55241000000,41733000000,,55691000000,43.87,35.3,35.58
2011-09-30,108249000000,43818000000,33790000000,25922000000,,34183000000,40.48,31.22,31.58
2010-09-30,65225000000,25684000000,18385000000,14013000000,,18397000000,39.38,28.19,28.21
2009-09-30,36537000000,13140000000,7658000000,5704000000,,12022000000,35.96,20.96,32.9
2008-09-30,32479000000,11145000000,6275000000,4834000000,,6831000000,34.31,19.32,21.03
2007-09-30,24006000000,8154000000,4409000000,3495000000,,4407000000,33.97,18.37,18.36
2006-09-30,19315000000,5598000000,2453000000,1989000000,,2453000000,28.98,12.7,12.7
2005-09-30,13931000000,4043000000,1650000000,1328000000,,1643000000,29.02,11.84,11.79
