fiscal_date_ending,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-09-30,391035000000,180683000000,123216000000,93736000000,,123216000000,46.206349815233935,31.510222870075566,31.510222870075566
2023-09-30,379352000000,169148000000,114301000000,96995000000,3933000000.0,117669000000,44.5886669900251,30.130591113266835,31.018420886142685
2022-09-30,391397000000,170782000000,119437000000,99803000000,2931000000.0,122034000000,43.63395733743488,30.51556348158008,31.179084152407917
2021-09-30,363172000000,152836000000,108949000000,94680000000,2645000000.0,111852000000,42.08364080931349,29.99928408577754,30.79862985031886
2020-09-30,271642000000,104956000000,66288000000,57411000000,2873000000.0,69964000000,38.63761863040325,24.40270650341258,25.755958209702477
2019-09-30,256598000000,98392000000,63930000000,55256000000,3576000000.0,69313000000,38.34480393455912,24.914457634120296,27.012291600090414
2018-09-30,265595000000,101839000000,70898000000,59531000000,3240000000.0,76143000000,38.34371882000791,26.694026619477025,28.668837892279598
2017-09-30,229234000000,88186000000,61344000000,48351000000,2323000000.0,66412000000,38.469860491899105,26.76042820872994,28.971269532442832
2016-09-30,215639000000,84263000000,60024000000,45687000000,1456000000.0,62828000000,39.07595564809705,27.835410106706114,29.13573147714467
2015-09-30,232982000000,93626000000,71230000000,53394000000,733000000.0,73248000000,40.18593711102145,30.573177327003805,31.439338661355816
2014-09-30,182411000000,70537000000,52503000000,39510000000,384000000.0,53867000000,38.6692688489181,28.782803668638408,29.5305655908909
2013-09-30,170774000000,64304000000,48999000000,37037000000,136000000.0,50291000000,37.654443884900516,28.69230679143195,29.448862238982514
2012-09-30,156508000000,68662000000,55241000000,41733000000,0.0,55763000000,43.87123980882766,35.295959311984056,35.62948858844276
2011-09-30,108249000000,43818000000,33790000000,25922000000,0.0,34205000000,40.478895878945764,31.215068961376087,31.598444327430276
2010-09-30,65225000000,25684000000,18385000000,14013000000,,18385000000,39.377539287083174,28.18704484476811,28.18704484476811
2009-09-30,42905000000,17222000000,11740000000,8235000000,,11740000000,40.13984384104417,27.362778230975408,27.362778230975408
