fiscal_date_ending,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-12-31,190867000000,194450000000,179431000000,165993000000,285970000000,151000000.0,58000000000,172866000000,78779000000
2023-12-31,172351000000,159019000000,164917000000,166762000000,201875000000,147000000.0,67182000000,113618000000,73387000000
2022-12-31,146791000000,135273000000,155393000000,164139000000,146043000000,1200000000.0,70542000000,83193000000,53888000000
2021-12-31,161580000000,103810000000,142266000000,142238000000,138245000000,318000000.0,50553000000,85915000000,36220000000
2020-12-31,132733000000,148451000000,126385000000,103306000000,93404000000,16115000000.0,33174000000,52551000000,42122000000
2019-12-31,96334000000,190405000000,87812000000,77376000000,62060000000,1307000000.0,24820000000,31220000000,36092000000
2018-12-31,75101000000,91662000000,68391000000,61758000000,43549000000,9502000000.0,24965000000,19625000000,31750000000
2017-12-31,60197000000,74484000000,57883000000,55156000000,27709000000,6182000000.0,24942000000,8636000000,20522000000
2016-12-31,45781000000,38475000000,43816000000,25900000000,19285000000,5197000000.0,8838000000,4916000000,19334000000
2015-12-31,35705000000,29732000000,33887000000,23457000000,13384000000,238000000.0,8562000000,2545000000,15890000000
2014-12-31,31327000000,23942000000,28089000000,19722000000,10741000000,1520000000.0,9881000000,1949000000,14557000000
2013-12-31,24625000000,16179000000,22980000000,9439000000,9746000000,753000000.0,3967000000,2190000000,8658000000
2012-12-31,21296000000,11861000000,19002000000,6206000000,8192000000,792000000.0,3691000000,1916000000,8084000000
2011-12-31,17490000000,8435000000,14896000000,2625000000,7757000000,,384000000,1955000000,5269000000
2010-12-31,13747000000,5613000000,10372000000,1561000000,6864000000,,184000000000,1324000000,3777000000
2009-12-31,9797000000,4016000000,7364000000,1192000000,5257000000,,109000000,172000000,3444000000
2008-12-31,6157000000,2157000000,4746000000,896000000,2672000000,59000000.0,533000000,-730000000,2769000000
