fiscal_date_ending,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-12-31,115877000000,82999000000,-94342000000,-11812000000,,82000000.0,32878000000
2023-12-31,84946000000,52729000000,-49833000000,-15879000000,,-7548000000.0,32217000000
2022-12-31,46752000000,63645000000,-37601000000,9718000000,,3999000000.0,-16893000000
2021-12-31,46327000000,61053000000,-58154000000,6291000000,,,-14726000000
2020-12-31,66064000000,40140000000,-59611000000,-1104000000,,,25924000000
2019-12-31,38514000000,16861000000,-24281000000,-10066000000,,,21653000000
2018-12-31,30723000000,13427000000,-12369000000,-7686000000,,,17296000000
2017-12-31,18365000000,11955000000,-27084000000,9928000000,,,6410000000
2016-12-31,17203000000,7804000000,-9516000000,-3716000000,,,9399000000
2015-12-31,12039000000,4589000000,-6450000000,-3882000000,,,7450000000
2014-12-31,6842000000,4893000000,-5065000000,4432000000,,,1949000000
2013-12-31,5475000000,3444000000,-4276000000,-539000000,,,2031000000
2012-12-31,4180000000,3785000000,-3595000000,2259000000,,,395000000
2011-12-31,3903000000,1811000000,-1930000000,-482000000,,,2092000000
2010-12-31,3495000000,979000000,-3360000000,181000000,,,2516000000
2009-12-31,3293000000,373000000,-2337000000,-280000000,,,2920000000
