fiscal_date_ending,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-12-31,637551000000,229859000000,68593000000,59248000000,2406000000,68593000000,36.05342945113411,10.758825568464326,10.758825568464326
2023-12-31,571668000000,183837000000,36852000000,30425000000,3182000000,40707000000,32.15800079766578,6.446398958836248,7.120741409349482
2022-12-31,511276000000,139192000000,12248000000,-2722000000,2367000000,-3572000000,27.224434551983663,2.3955749927632044,-0.6986441765308757
2021-12-31,467958000000,126928000000,24879000000,33364000000,1809000000,39964000000,27.123801708700352,5.31650276306848,8.540082656990585
2020-12-31,384452000000,102560000000,22899000000,21331000000,1647000000,25841000000,26.676932360866896,5.956270223590981,6.721515299699313
2019-12-31,278902000000,67626000000,14541000000,11588000000,1600000000,15588000000,24.247226624405705,5.213659278169393,5.589059956543876
2018-12-31,231264000000,65283000000,12421000000,10073000000,1417000000,12687000000,28.228777501037776,5.370918084959181,5.485938148609382
2017-12-31,177265000000,51222000000,4106000000,3033000000,848000000,4650000000,28.89572109553493,2.3163060953939016,2.623191267311652
2016-12-31,135565000000,31752000000,4186000000,2371000000,484000000,4255000000,23.42197469848412,3.0878176520488325,3.138715745214473
2015-12-31,106332000000,22853000000,2233000000,596000000,459000000,2005000000,21.49211902343603,2.100026332618591,1.8856035812361283
2014-12-31,88680000000,16330000000,178000000,-241000000,210000000,136000000,18.414524131709516,0.20072169598556608,0.15336039693279205
2013-12-31,74227000000,13264000000,745000000,274000000,141000000,576000000,17.86950839990839,1.0036779069610788,0.775997952227626
2012-12-31,60926000000,9900000000,676000000,-39000000,92000000,481000000,16.249220365689528,1.109542723960214,0.7894823228178446
2011-12-31,48097000000,7668000000,862000000,631000000,65000000,987000000,15.942782294113977,1.792211572447346,2.052103041769757
2010-12-31,34097000000,5608000000,1406000000,1152000000,39000000,1543000000,16.44719476786814,4.123529929319295,4.525324808634191
2009-12-31,24479000000,5531000000,1129000000,902000000,34000000,1189000000,22.59487724171739,4.612116508027288,4.85722455982679
