fiscal_date_ending,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-12-31,163711000000,291396000000,89122000000,36050000000,325084000000,2300000000,12000000000,245084000000,23466000000
2023-12-31,171530000000,233962000000,81814000000,37199000000,283379000000,0,13000000000,211247000000,24048000000
2022-12-31,164795000000,202772000000,69300000000,39820000000,256144000000,0,15312000000,195563000000,21879000000
2021-12-31,188143000000,172625000000,64254000000,43379000000,251635000000,0,15440000000,191484000000,20945000000
2020-12-31,174296000000,146720000000,56834000000,40238000000,222544000000,0,15319000000,163401000000,26465000000
2019-12-31,152578000000,123331000000,45221000000,19032000000,201442000000,0,4685000000,152122000000,18498000000
2018-12-31,135676000000,97116000000,34620000000,19280000000,177628000000,0,4062000000,134885000000,16701000000
2017-12-31,124308000000,72987000000,24183000000,20180000000,152502000000,0,4026000000,113247000000,10715000000
2016-12-31,105408000000,62089000000,16756000000,11705000000,139036000000,0,4000000000,105131000000,12918000000
2015-12-31,90114000000,57347000000,19310000000,7820000000,120331000000,2000000000,3225000000,89223000000,16549000000
2014-12-31,78656000000,50531000000,16779000000,9828000000,103860000000,1999000000,3110000000,75066000000,18347000000
