fiscal_date_ending,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-12-31,125299000000,52535000000,-45536000000,-79733000000,7363000000.0,,72764000000
2023-12-31,101746000000,32251000000,-27063000000,-72093000000,0.0,,69495000000
2022-12-31,91495000000,31485000000,-20298000000,-69757000000,,,60010000000
2021-12-31,91652000000,24640000000,-35523000000,-61362000000,,,67012000000
2020-12-31,65124000000,22281000000,-32773000000,-24408000000,,,42843000000
2019-12-31,54520000000,23548000000,-29491000000,-23209000000,,,30972000000
2018-12-31,47971000000,25139000000,-28504000000,-13179000000,,,22832000000
2017-12-31,37091000000,13184000000,-31401000000,-8298000000,0.0,,23907000000
2016-12-31,36036000000,10212000000,-31165000000,-8332000000,0.0,,25824000000
2015-12-31,26572000000,9915000000,-23711000000,-4225000000,47000000.0,,16657000000
