fiscal_date_ending,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-12-31,348963000000,202657000000,112390000000,100118000000,268000000,112390000000,58.074065158770416,32.20685287551975,32.20685287551975
2023-12-31,305559000000,172227000000,84293000000,73795000000,308000000,86025000000,56.36456461763522,27.586489025032808,28.153318998949466
2022-12-31,281279000000,155076000000,74842000000,59972000000,357000000,71685000000,55.13244856530349,26.607745334703264,25.48537217495796
2021-12-31,257637000000,146698000000,78714000000,76033000000,346000000,91080000000,56.93980290098084,30.55228868524319,35.352065114870925
2020-12-31,182527000000,97795000000,41224000000,40269000000,135000000,48217000000,53.57837470620785,22.585151785763202,26.41636579793674
2019-12-31,161857000000,89961000000,34231000000,34343000000,100000000,39725000000,55.58054331910266,21.14891540063142,24.54326967631922
2018-12-31,136819000000,77270000000,27524000000,30736000000,114000000,35027000000,56.47607422945643,20.117089000796675,25.600976472565947
2017-12-31,110855000000,65272000000,26178000000,12662000000,109000000,27302000000,58.88051959767263,23.614631726128728,24.628568851202022
2016-12-31,90272000000,55134000000,23716000000,19478000000,124000000,24274000000,61.07541651896491,26.271712158808935,26.8898440269408
2015-12-31,74989000000,46825000000,19360000000,16348000000,104000000,19755000000,62.44249156542959,25.817119844243823,26.343863766685782
