date,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-12-31,34482000000,102693000000,33142000000,76640000000,27307000000,5857000000,49884000000,151163000000,13947000000
2023-12-31,32908000000,102333000000,34122000000,78506000000,22533000000,7246000000,50121000000,151276000000,13068000000
2022-12-31,29118000000,98126000000,31505000000,73717000000,21944000000,5634000000,46189000000,149825000000,7886000000
2021-12-31,29539000000,102460000000,33619000000,79386000000,18901000000,7760000000,44917000000,154209000000,6650000000
2020-12-31,39165000000,116805000000,39869000000,95376000000,20597000000,8540000000,54355000000,162717000000,13212000000
2019-12-31,38420000000,113766000000,37701000000,93500000000,20841000000,10177000000,54102000000,162954000000,8172000000
2018-12-31,49146000000,74236000000,38227000000,68225000000,16796000000,10207000000,35605000000,159206000000,11379000000
2017-12-31,49735000000,75620000000,37363000000,70268000000,17594000000,6986000000,39837000000,153126000000,11972000000
2016-12-31,43888000000,73581000000,36275000000,62803000000,18246000000,7513000000,34655000000,152759000000,7826000000
2015-12-31,42504000000,67991000000,34269000000,61802000000,14262000000,6461000000,33428000000,146124000000,7686000000
2014-12-31,49422000000,68111000000,39600000000,65918000000,11868000000,5731000000,35073000000,137793000000,8476000000
2013-12-31,51350000000,74872000000,40154000000,63140000000,22792000000,11495000000,32856000000,130042000000,10716000000
2012-12-31,49433000000,69781000000,43625000000,56604000000,18860000000,9181000000,24088000000,117641000000,10412000000
2011-12-31,50928000000,65505000000,42123000000,54075000000,20138000000,8463000000,22857000000,104857000000,11922000000
2010-12-31,48116000000,65334000000,40562000000,49718000000,23046000000,6778000000,21846000000,92532000000,10661000000
2009-12-31,48935000000,60087000000,36002000000,50265000000,22637000000,4168000000,21932000000,80900000000,12183000000
2008-12-31,49004000000,60520000000,42435000000,53624000000,13465000000,11236000000,22689000000,70353000000,12741000000
2007-12-31,53177000000,67254000000,44310000000,47651000000,28470000000,12235000000,23039000000,60640000000,14991000000
2006-12-31,44660000000,58574000000,40091000000,34637000000,28506000000,8902000000,13780000000,52432000000,8022000000
2005-12-31,45661000000,60087000000,35152000000,37498000000,33098000000,7216000000,15425000000,44734000000,12568000000
