date,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-12-31,13445000000,1685000000,,-7079000000,6147000000,,11760000000
2023-12-31,13432000000,1918000000,,-6016000000,6016000000,,11514000000
2022-12-31,10435000000,1860000000,-4202000000.0,-4958000000,5948000000,,8575000000
2021-12-31,12796000000,2381000000,-5975000000.0,-13354000000,5869000000,,10415000000
2020-12-31,18197000000,3042000000,-3028000000.0,-9721000000,5797000000,,15155000000
2019-12-31,14770000000,2370000000,-26936000000.0,9042000000,5707000000,,12400000000
2018-12-31,15247000000,3716000000,-4913000000.0,-10469000000,5666000000,,11531000000
2017-12-31,16724000000,3312000000,-7096000000.0,-6418000000,5506000000,,13412000000
2016-12-31,16518000000,3726000000,-10976000000.0,-5791000000,5256000000,,12792000000
2015-12-31,17000000000,3800000000,-8159000000.0,-9200000000,4900000000,,13200000000
2014-12-31,16900000000,3800000000,-3001000000.0,-15500000000,4300000000,,13100000000
2013-12-31,17500000000,3800000000,-7326000000.0,-9900000000,4100000000,,13700000000
2012-12-31,19600000000,4300000000,-9004000000.0,-12000000000,3773000000,,15300000000
2011-12-31,19846000000,4667000000,-4396000000.0,-13696000000,3473000000,,15179000000
2010-12-31,20283000000,3984000000,-8507000000.0,-12429000000,3177000000,,16299000000
2009-12-31,20773000000,4077000000,-6729000000.0,-14700000000,2860000000,,16696000000
2008-12-31,18812000000,4887000000,,-11834000000,2585000000,,13925000000
2007-12-31,16094000000,5505000000,,-4740000000,2147000000,,10589000000
2006-12-31,15019000000,5166000000,,-8204000000,1683000000,,9853000000
2005-12-31,14914000000,4634000000,,-7147000000,1250000000,,10280000000
