date,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-12-31,62753000000,35551000000,10074000000,6023000000,,7509000000,56.65,16.05,11.97
2023-12-31,61860000000,34300000000,7514000000,7502000000,,7514000000,55.45,12.15,12.15
2022-12-31,60530000000,32687000000,2372000000,1640000000,,2372000000,54.0,3.92,3.92
2021-12-31,57351000000,31486000000,6832000000,5742000000,,7021000000,54.9,11.91,12.24
2020-12-31,73621000000,35575000000,6895000000,5590000000,,6014000000,48.32,9.37,8.17
2019-12-31,57714000000,31533000000,7538000000,9431000000,,8550000000,54.64,13.06,14.81
2018-12-31,79591000000,36936000000,13217000000,8728000000,,12065000000,46.41,16.61,15.16
2017-12-31,79139000000,36943000000,13139000000,5753000000,,12015000000,46.68,16.6,15.18
2016-12-31,79920000000,38516000000,13639000000,11872000000,,12960000000,48.19,17.07,16.22
2015-12-31,81742000000,40684000000,15921000000,13190000000,,16413000000,49.77,19.48,20.08
2014-12-31,92793000000,46407000000,18866000000,12022000000,,20470000000,50.01,20.33,22.06
2013-12-31,98368000000,48684000000,20469000000,16483000000,,20646000000,49.49,20.81,20.99
2012-12-31,102874000000,50361000000,22206000000,16604000000,,22999000000,48.95,21.59,22.36
2011-12-31,106916000000,50138000000,21482000000,15855000000,,21414000000,46.89,20.09,20.03
2010-12-31,99871000000,46014000000,19344000000,14833000000,,20091000000,46.07,19.37,20.12
2009-12-31,95758000000,43785000000,17012000000,13425000000,,18540000000,45.72,17.77,19.36
2008-12-31,103630000000,45661000000,15939000000,12334000000,,17388000000,44.06,15.38,16.78
2007-12-31,98786000000,41729000000,13516000000,10418000000,,15100000000,42.24,13.68,15.29
2006-12-31,91424000000,38295000000,11929000000,9492000000,,13595000000,41.89,13.05,14.87
2005-12-31,91134000000,36532000000,9376000000,7934000000,,12446000000,40.09,10.29,13.66
