fiscal_date_ending,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-12-31,100045000000,50756000000,33596000000,60454000000,182637000000,1942000000,28826000000.0,102506000000,43889000000
2023-12-31,85365000000,41588000000,31960000000,52609000000,153168000000,1623000000,18385000000.0,82070000000,41862000000
2022-12-31,59549000000,40476000000,27026000000,40191000000,125713000000,10000000000,9923000000.0,64799000000,14681000000
2021-12-31,66666000000,34771000000,21135000000,26417000000,124879000000,1127000000,,69761000000,16601000000
2020-12-31,75670000000,31779000000,14981000000,21539000000,128290000000,1023000000,,77345000000,17576000000
2019-12-31,66225000000,31828000000,15053000000,18308000000,101054000000,800000000,,55692000000,19079000000
2018-12-31,50480000000,46854000000,7017000000,6190000000,84127000000,500000000,,41981000000,10019000000
2017-12-31,48563000000,35961000000,3760000000,6417000000,74347000000,2081000000,72000000.0,33990000000,8079000000
2016-12-31,34401000000,30560000000,2875000000,5323000000,59194000000,1247000000,112000000.0,21670000000,8903000000
2015-12-31,21652000000,27755000000,1925000000,6152000000,44218000000,7000000,201000000.0,9787000000,4907000000
2014-12-31,13390000000,26514000000,1424000000,4841000000,36096000000,114000000,119000000.0,6099000000,4315000000
2013-12-31,13070000000,4825000000,1100000000,2211000000,15470000000,239000000,237000000.0,3159000000,3323000000
2012-12-31,11267000000,3836000000,1052000000,2296000000,11755000000,365000000,1500000000.0,1659000000,2384000000
2011-12-31,4604000000,1727000000,899000000,533000000,4899000000,279000000,398000000.0,1606000000,1512000000
