fiscal_date_ending,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-12-31,163811000000,133650000000,69380000000,62360000000,715000000,69380000000,81.58792755065288,42.35368809176429,42.35368809176429
2023-12-31,134090000000,108131000000,46751000000,39098000000,446000000,47874000000,80.64061451264077,34.86538891789097,35.70288612126184
2022-12-31,116352000000,91103000000,28944000000,23200000000,176000000,28944000000,78.2994705720572,24.876237623762375,24.876237623762375
2021-12-31,117774000000,95125000000,46753000000,39370000000,15000000,46753000000,80.76910014094791,39.697216703177276,39.697216703177276
2020-12-31,85822000000,69130000000,32671000000,29146000000,14000000,32671000000,80.55044161170795,38.06832746848128,38.06832746848128
2019-12-31,70572000000,57802000000,23986000000,18485000000,20000000,24832000000,81.90500481777475,33.987983902964345,35.18675962137958
2018-12-31,55616000000,46261000000,24913000000,22112000000,9000000,25370000000,83.1793009205984,44.79466340621404,45.616369390103564
2017-12-31,40653000000,35199000000,20203000000,15934000000,6000000,20600000000,86.58401593978304,49.69620938184144,50.672767077460456
2016-12-31,27638000000,23849000000,12427000000,10217000000,10000000,12528000000,86.29061437151748,44.96345611115131,45.32889499963818
2015-12-31,17928000000,15061000000,6225000000,3688000000,23000000,6217000000,84.00825524319501,34.72222222222222,34.67759928603302
2014-12-31,12466000000,10313000000,4994000000,2940000000,23000000,4933000000,82.72902294240335,40.06096582704958,39.57163484678325
2013-12-31,7872000000,5997000000,2804000000,1500000000,56000000,2810000000,76.1814024390244,35.61991869918699,35.69613821138211
2012-12-31,5089000000,3725000000,538000000,53000000,51000000,545000000,73.19709176655532,10.571821575948123,10.709373157791315
