date,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-06-30,159734000000,352429000000,125286000000,118400000000,268477000000,8942000000,42688000000.0,173144000000,18315000000
2023-06-30,184257000000,227719000000,104149000000,101604000000,206223000000,5247000000,41990000000.0,118848000000,34704000000
2022-06-30,169684000000,195156000000,95082000000,103216000000,166542000000,2749000000,47032000000.0,84281000000,13931000000
2021-06-30,184406000000,149373000000,88657000000,103134000000,141988000000,8072000000,50074000000.0,57055000000,14224000000
2020-06-30,181915000000,119396000000,72310000000,110697000000,118304000000,3749000000,59578000000.0,34566000000,13576000000
2019-06-30,175552000000,111004000000,69420000000,114806000000,102330000000,5516000000,66662000000.0,24150000000,11356000000
2018-06-30,169662000000,89186000000,58488000000,117642000000,82718000000,3998000000,72242000000.0,13682000000,11946000000
2017-06-30,159851000000,81235000000,64527000000,104165000000,72394000000,10121000000,76073000000.0,2648000000,7663000000
2016-06-30,139660000000,54034000000,59357000000,62340000000,71997000000,12904000000,40783000000.0,2282000000,6510000000
2015-06-30,122797000000,51675000000,49647000000,44742000000,80083000000,7484000000,27808000000.0,9096000000,5595000000
2014-06-30,114246000000,58138000000,45625000000,36975000000,89784000000,2000000000,20645000000.0,17710000000,8669000000
2013-06-30,101466000000,40965000000,37417000000,26070000000,78944000000,2999000000,12601000000.0,9895000000,3804000000
2012-06-30,85084000000,36187000000,32688000000,22220000000,66363000000,1231000000,10713000000.0,566000000,6938000000
2011-06-30,74918000000,33786000000,28774000000,22847000000,57083000000,5363000000,11921000000.0,-6332000000,9610000000
2010-06-30,55676000000,30437000000,26147000000,13791000000,46175000000,1000000000,4939000000.0,-16681000000,5505000000
2009-06-30,49280000000,28608000000,27034000000,11296000000,39558000000,2000000000,3756000000.0,-22824000000,6076000000
2008-06-30,43242000000,29551000000,29886000000,6621000000,36286000000,8796000000,1000000.0,-27703000000,10339000000
2007-06-30,40168000000,23003000000,23754000000,8320000000,31097000000,2325000000,,-31114000000,6111000000
2006-06-30,49010000000,20587000000,22442000000,7051000000,40104000000,3495000000,,-20130000000,6714000000
2005-06-30,48737000000,22078000000,16877000000,5823000000,48115000000,1662000000,,-13724000000,4851000000
