fiscal_date_ending,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-06-30,159734000000,357329000000,125286000000,118400000000,268477000000,6693000000,44937000000,173144000000,18315000000
2023-06-30,184257000000,232219000000,104149000000,101604000000,206223000000,0,47237000000,118848000000,34704000000
2022-06-30,169684000000,198956000000,95082000000,103216000000,166542000000,2749000000,49781000000,84281000000,13931000000
2021-06-30,184406000000,152773000000,88657000000,103134000000,141988000000,8072000000,58146000000,57055000000,14224000000
2020-06-30,181915000000,122096000000,72310000000,110697000000,118304000000,3749000000,63327000000,34566000000,13576000000
2019-06-30,175552000000,105825000000,69420000000,108618000000,102330000000,0,72178000000,24150000000,11356000000
2018-06-30,169662000000,84300000000,58488000000,112074000000,82718000000,0,76200000000,13682000000,11946000000
2017-06-30,162696000000,81235000000,55745000000,117665000000,87711000000,9072000000,77100000000,17769000000,7663000000
2016-06-30,139660000000,54034000000,59357000000,74140000000,83090000000,12904000000,40600000000,2282000000,6510000000
2015-06-30,122797000000,48676000000,49647000000,59826000000,80083000000,4985000000,30300000000,9096000000,5595000000
2014-06-30,114246000000,55410000000,45625000000,47485000000,89784000000,2000000000,20600000000,17710000000,8669000000
2013-06-30,101466000000,39256000000,37417000000,35780000000,78944000000,0,15600000000,9895000000,3804000000
2012-06-30,85084000000,34294000000,32688000000,30428000000,66363000000,-2644000000,11900000000,566000000,6938000000
2011-06-30,74918000000,33786000000,28774000000,30919000000,57083000000,0,11900000000,-6332000000,9610000000
2010-06-30,55676000000,30437000000,26147000000,14027000000,46175000000,1000000000,4900000000,-16681000000,5505000000
2009-06-30,49280000000,28608000000,27034000000,11296000000,39558000000,2000000000,3756000000,-22824000000,6076000000
