date,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-06-30,118548000000,44477000000,-96970000000,-37757000000,21771000000,,74071000000
2023-06-30,87582000000,28107000000,-22680000000,-43935000000,19800000000,,59475000000
2022-06-30,89035000000,23886000000,-30311000000,-58876000000,18135000000,,65149000000
2021-06-30,76740000000,20622000000,-27577000000,-48486000000,16521000000,,56118000000
2020-06-30,60675000000,15441000000,-12223000000,-46031000000,15137000000,,45234000000
2019-06-30,52185000000,13925000000,-15773000000,-36887000000,13811000000,,38260000000
2018-06-30,43884000000,11632000000,-6061000000,-33590000000,12699000000,,32252000000
2017-06-30,39507000000,8129000000,-46781000000,8408000000,11845000000,,31378000000
2016-06-30,33325000000,8343000000,-23950000000,-8393000000,11006000000,,24982000000
2015-06-30,29080000000,5944000000,-23001000000,-9080000000,9882000000,,23136000000
2014-06-30,32231000000,5485000000,-18833000000,-8394000000,8879000000,,26746000000
2013-06-30,28833000000,4257000000,-23811000000,-8148000000,7455000000,,24576000000
2012-06-30,31626000000,2305000000,-24786000000,-9408000000,6385000000,,29321000000
2011-06-30,26994000000,2355000000,-14616000000,-8376000000,5180000000,,24639000000
2010-06-30,24073000000,1977000000,-11314000000,-13291000000,4578000000,,22096000000
2009-06-30,19037000000,3119000000,-15770000000,-7463000000,4468000000,,15918000000
2008-06-30,21612000000,3182000000,-4587000000,-12934000000,4015000000,,18430000000
2007-06-30,17796000000,2264000000,6089000000,-24544000000,3805000000,,15532000000
2006-06-30,14404000000,1578000000,8003000000,-20562000000,3545000000,,12826000000
2005-06-30,16605000000,812000000,15027000000,-41078000000,36112000000,,15793000000
