date,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-06-30,245122000000,171008000000,109433000000,88136000000,,110722000000,69.76,44.64,45.17
2023-06-30,211915000000,146052000000,88523000000,72361000000,,91279000000,68.92,41.77,43.07
2022-06-30,198270000000,135620000000,83383000000,72738000000,,85779000000,68.4,42.06,43.26
2021-06-30,168088000000,115856000000,69916000000,61271000000,,73448000000,68.93,41.59,43.7
2020-06-30,143015000000,96937000000,52959000000,44281000000,,55627000000,67.78,37.03,38.9
2019-06-30,125843000000,82933000000,42959000000,39240000000,,46374000000,65.9,34.14,36.85
2018-06-30,110360000000,72007000000,35058000000,16571000000,,39207000000,65.25,31.77,35.53
2017-06-30,96571000000,62310000000,29025000000,25489000000,,32123000000,64.52,30.06,33.26
2016-06-30,91154000000,58374000000,26078000000,20539000000,,26882000000,64.04,28.61,29.49
2015-06-30,93580000000,60542000000,18161000000,12193000000,,19288000000,64.7,19.41,20.61
2014-06-30,86833000000,59755000000,27759000000,22074000000,,28417000000,68.82,31.97,32.73
2013-06-30,77849000000,57464000000,26764000000,21863000000,,27481000000,73.81,34.38,35.3
2012-06-30,73723000000,56193000000,21763000000,16978000000,,22647000000,76.22,29.52,30.72
2011-06-30,69943000000,54366000000,27161000000,23150000000,,28366000000,77.73,38.83,40.56
2010-06-30,62484000000,50089000000,24098000000,18760000000,,25164000000,80.16,38.57,40.27
2009-06-30,58437000000,46282000000,20363000000,14569000000,,19859000000,79.2,34.85,33.98
2008-06-30,60420000000,48822000000,22271000000,17681000000,,23920000000,80.8,36.86,39.59
2007-06-30,51122000000,40429000000,18438000000,14065000000,,18438000000,79.08,36.07,36.07
2006-06-30,44282000000,36632000000,16472000000,12599000000,,16472000000,82.72,37.2,37.2
2005-06-30,39788000000,33757000000,14561000000,12254000000,,14561000000,84.84,36.6,36.6
