fiscal_date_ending,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2023-06-30,209747000000,146052000000,88523000000,72361000000,1968000000,91279000000,69.63246196608294,42.20465608566511,43.518620051776665
2022-06-30,196109000000,135620000000,83383000000,72738000000,2063000000,85779000000,69.15541867022931,42.51870133446196,43.740470860592836
2021-06-30,165936000000,115856000000,69916000000,61271000000,2346000000,73448000000,69.81968951885064,42.134316845048694,44.26284832706585
2020-06-30,140503000000,96937000000,52959000000,44281000000,2591000000,55627000000,68.99283289324784,37.69243361351715,39.591325452125574
2019-06-30,123495000000,82933000000,42959000000,39240000000,2686000000,46374000000,67.15494554435402,34.78602372565691,37.551317867120126
2018-06-30,107222000000,72007000000,35058000000,16571000000,2733000000,39207000000,67.15692675010725,32.696648075954556,36.56618977448658
2017-06-30,96571000000,62310000000,29025000000,25489000000,2222000000,32123000000,64.52247569146017,30.055606755651283,33.26360915802881
2016-06-30,91154000000,58374000000,26078000000,20539000000,1243000000,26882000000,64.03887925927552,28.608728086534875,29.49075191434276
2015-06-30,93580000000,60542000000,18161000000,12193000000,781000000,19288000000,64.6954477452447,19.406924556529173,20.611241718315878
2014-06-30,86833000000,59755000000,27759000000,22074000000,597000000,28417000000,68.81600313244964,31.968260914629234,32.72603733603584
2013-06-30,77849000000,57464000000,26764000000,21863000000,429000000,27481000000,73.81469254582589,34.37937545761667,35.30038921501882
2012-06-30,73723000000,56193000000,21763000000,16978000000,380000000,22647000000,76.2218032364391,29.51995984970769,30.719042903842762
2011-06-30,69943000000,54366000000,27161000000,23150000000,295000000,28366000000,77.7290079064381,38.83304976909769,40.55588121756287
2010-06-30,62484000000,50089000000,24098000000,18760000000,151000000,25164000000,80.16292170795724,38.566673068305484,40.27270981371231
