date,total_current_assets,total_non_current_assets,total_current_liabilities,total_non_current_liabilities,total_shareholder_equity,short_term_debt,long_term_debt,retained_earnings,cash_and_cash_equivalents
2024-12-31,58360000000.0,63716000000.0,28821000000.0,19569000000.0,72913000000.0,3263000000.0,5535000000.0,35209000000.0,16139000000.0
2023-12-31,49616000000.0,57002000000.0,28748000000.0,14261000000.0,62634000000.0,3045000000.0,2682000000.0,27882000000.0,16398000000.0
2022-12-31,40917000000.0,41421000000.0,26709000000.0,9731000000.0,44704000000.0,1987000000.0,1029000000.0,12885000000.0,16253000000.0
2021-12-31,27100000000.0,35031000000.0,19705000000.0,11411000000.0,30189000000.0,1589000000.0,4254000000.0,331000000.0,17576000000.0
2020-12-31,26717000000.0,25434000000.0,14248000000.0,14221000000.0,22225000000.0,2418000000.0,9607000000.0,-5399000000.0,19384000000.0
2019-12-31,12103000000.0,22203000000.0,10667000000.0,15532000000.0,6618000000.0,2013000000.0,11634000000.0,-6083000000.0,6268000000.0
2018-12-31,8307000000.0,21435000000.0,9993000000.0,13434000000.0,4923000000.0,2712000000.0,9403672000.0,-5318000000.0,3686000000.0
2017-12-31,6570520000.0,22084948000.0,7674670000.0,15348380000.0,4237242000.0,978777000.0,9418389000.0,-4974299000.0,3367914000.0
2016-12-31,6259796000.0,16400700000.0,5827005000.0,10931946000.0,4752911000.0,1202178000.0,5978284000.0,-2997237000.0,3393216000.0
2015-12-31,2782006000.0,5278030000.0,2811035000.0,4173200000.0,1083704000.0,112424000.0,2068378000.0,-2322323000.0,1196908000.0
2014-12-31,3180073000.0,2650550000.0,2107166000.0,2811791000.0,911710000.0,641661000.0,1806518000.0,-1433682000.0,1905713000.0
2013-12-31,1265939000.0,1150966000.0,675160000.0,1074650000.0,667120000.0,7904000.0,598974000.0,-1139620000.0,845889000.0
2012-12-31,524768000.0,589422000.0,539108000.0,450382000.0,124700000.0,55206000.0,401495000.0,-1065606000.0,201890000.0
2011-12-31,372838000.0,340610000.0,191339000.0,298064000.0,224045000.0,8983000.0,268335000.0,-669392000.0,255266000.0
2010-12-31,235886000.0,150196000.0,85565000.0,93469000.0,207048000.0,279000.0,72324000.0,-414982000.0,99558000.0
2009-12-31,100559000.0,29865000.0,57489000.0,326458000.0,-253523000.0,290000.0,800000.0,-260654000.0,69627000.0
2008-12-31,31427000.0,20272000.0,87935000.0,163478000.0,-199714000.0,341000.0,55416000.0,-204914000.0,9277000.0
2007-12-31,22308000.0,12529000.0,51296000.0,101387000.0,-117846000.0,80000.0,,-122132000.0,17211000.0
2006-12-31,,,,,,,,,
