date,operating_cashflow,capital_expenditures,cashflow_from_investment,cashflow_from_financing,dividend_payout,debt_repayments,free_cashflow
2024-12-31,14923000000,11342000000,,3853000000,,,3581000000
2023-12-31,13256000000,8899000000,,2589000000,,,4357000000
2022-12-31,14724000000,7172000000,-11973000000.0,-3527000000,,,7552000000
2021-12-31,11497000000,8014000000,-7868000000.0,-5203000000,,,3483000000
2020-12-31,5943000000,3242000000,-3132000000.0,9973000000,,,2701000000
2019-12-31,2405000000,1437000000,-1436000000.0,1529000000,,,968000000
2018-12-31,2098000000,2319000000,-2337428000.0,574000000,,,-221000000
2017-12-31,-61000000,4081354000,-4196000000.0,4415000000,,,-4142354000
2016-12-31,-123829000,1440471000,-1081085000.0,3743976000,,,-1564300000
2015-12-31,-524499000,1634850000,-1673551000.0,1523523000,0.0,,-2159349000
2014-12-31,-57337000,969885000,-990444000.0,2143130000,0.0,,-1027222000
2013-12-31,264803999,264224000,-249417000.0,635422000,0.0,,579999
2012-12-31,-263815000,239227999,-206930000.0,419635000,0.0,,-503042999
2011-12-31,-114364000,184226000,-175928000.0,446000000,0.0,,-298590000
2010-12-31,-127817000,40203000,,338045000,,,-168020000
2009-12-31,-80825000,11884000,,155419000,,,-92709000
2008-12-31,-52412000,10630000,,56068000,,,-63042000
2007-12-31,-53469000,9802000,,45041000,,,-63271000
2006-12-31,-3428000,6505000,,39807000,,,-9933000
