date,total_revenue,gross_profit,operating_income,net_income,interest_and_debt_expense,ebit,gross_margin,operating_margin,ebit_margin
2024-12-31,97690000000.0,17450000000,7076000000,7130000000,,9340000000,17.86,7.24,9.56
2023-12-31,96773000000.0,17660000000,8891000000,14974000000,,10129000000,18.25,9.19,10.47
2022-12-31,81462000000.0,20853000000,13656000000,12587000000,,14290000000,25.6,16.76,17.54
2021-12-31,53823000000.0,13606000000,6687000000,5644000000,,6687000000,25.28,12.42,12.42
2020-12-31,31536000000.0,6630000000,1994000000,721000000,,1902000000,21.02,6.32,6.03
2019-12-31,24578000000.0,4069000000,-69000000,-862000000,,18000000,16.56,-0.28,0.07
2018-12-31,21461268000.0,4042021000,-388000000,-976000000,,-342000000,18.83,-1.81,-1.59
2017-12-31,11759000000.0,2223000000,-1632000000,-1962000000,,-1738000000,18.9,-13.88,-14.78
2016-12-31,7000132000.0,1599257000,-667340000,-674914000,,-547538000,22.85,-9.53,-7.82
2015-12-31,4046025000.0,923503000,-716629000,-888663000,,-756773000,22.82,-17.71,-18.7
2014-12-31,3198356000.0,881671000,-186689000,-294040000,,-183750000,27.57,-5.84,-5.75
2013-12-31,2013496000.0,456262000,-61283000,-74014000,,-38492000,22.66,-3.04,-1.91
2012-12-31,413256000.0,30067000,-394283000,-396213000,,-395823000,7.28,-95.41,-95.78
2011-12-31,204242000.0,61595000,-251488000,-254411000,,-253879000,30.16,-123.13,-124.3
2010-12-31,116744000.0,30731000,-146838000,-154328000,,-153163000,26.32,-125.78,-131.2
2009-12-31,111943000.0,9535000,-51897000,-55740000,,-53183000,8.52,-46.36,-47.51
2008-12-31,14742000.0,-1141000,-78504000,-82782000,,-78938000,-7.74,-532.52,-535.46
2007-12-31,73000.0,64000,-79933000,-78157000,,-78047000,87.67,-109497.26,-106913.7
2006-12-31,,-615000,-30431000,-29957000,,-29434000,,,
